Dataset,Gene_ID,Gene_Length,Num_Exons,Num_Introns,Avg_Exon_Length,Avg_Intron_Length,Coding_Ratio,GC_Content
Arabidopsis,evm.TU.5.52,3527,3,2,909.0,400.0,0.7731783385313298,0.3785086475758435
Arabidopsis,evm.TU.5.53,3966,5,4,714.6,98.25,0.9009077155824509,0.4175491679273828
Arabidopsis,evm.TU.5.54,2122,3,2,640.0,101.0,0.9048067860508954,0.4114043355325165
Arabidopsis,evm.TU.5.55,4331,4,3,735.75,462.6666666666667,0.679519741399215,0.36088663126298776
Arabidopsis,evm.TU.5.56,4406,7,6,499.7142857142857,151.33333333333334,0.7939173853835678,0.3828869723104857
Arabidopsis,evm.TU.5.57,565,2,1,244.5,76.0,0.8654867256637168,0.431858407079646
Arabidopsis,evm.TU.5.58,3436,4,3,785.25,98.33333333333333,0.9141443538998836,0.40919674039580906
Arabidopsis,evm.TU.5.59,2751,2,1,1333.5,84.0,0.9694656488549618,0.4162122864412941
Arabidopsis,evm.TU.5.60,2827,5,4,486.0,99.25,0.8595684471170852,0.3908737177219668
Arabidopsis,evm.TU.5.61,2796,5,4,489.6,87.0,0.8755364806866953,0.3987839771101574
Arabidopsis,evm.TU.1.1,2418,3,2,728.0,117.0,0.9032258064516129,0.40818858560794047
Arabidopsis,evm.TU.1.2,2532,1,0,2532.0,0.0,1.0,0.41034755134281203
Arabidopsis,evm.TU.1.3,2670,1,0,2670.0,0.0,1.0,0.41198501872659177
Arabidopsis,evm.TU.1.4,2685,1,0,2685.0,0.0,1.0,0.4108007448789572
Arabidopsis,evm.TU.1.5,2655,1,0,2655.0,0.0,1.0,0.408286252354049
Arabidopsis,evm.TU.1.6,2076,1,0,2076.0,0.0,1.0,0.40173410404624277
Arabidopsis,evm.TU.1.7,3547,5,4,630.0,99.25,0.8880744290950099,0.4276853679165492
Arabidopsis,evm.TU.1.8,1263,1,0,1263.0,0.0,1.0,0.41488519398258117
Arabidopsis,evm.TU.1.9,1227,2,1,571.5,84.0,0.9315403422982885,0.41483292583537085
Arabidopsis,evm.TU.1.10,5643,5,4,831.0,372.0,0.7363104731525785,0.4153818890660996
Arabidopsis,evm.TU.1.11,5960,5,4,837.0,443.75,0.7021812080536913,0.40318791946308724
Arabidopsis,evm.TU.1.12,4454,6,5,581.0,193.6,0.7826672653794342,0.36798383475527613
Arabidopsis,evm.TU.1.13,2902,5,4,514.8,82.0,0.8869745003445899,0.41867677463818054
Arabidopsis,evm.TU.1.14,2565,1,0,2565.0,0.0,1.0,0.37582846003898635
Arabidopsis,evm.TU.1.15,1322,3,2,380.0,91.0,0.8623298033282905,0.4258698940998487
Arabidopsis,evm.TU.1.16,3014,3,2,907.0,146.5,0.90278699402787,0.40212342402123424
Arabidopsis,evm.TU.1.17,4557,4,3,756.0,511.0,0.663594470046083,0.3530831687513715
Arabidopsis,evm.TU.1.18,3307,4,3,673.5,204.33333333333334,0.8146356214091321,0.37919564560024194
Arabidopsis,evm.TU.1.19,3643,4,3,822.75,117.33333333333333,0.9033763381828164,0.3947296184463354
Arabidopsis,evm.TU.1.20,495,2,1,172.5,150.0,0.696969696969697,0.3898989898989899
Arabidopsis,evm.TU.1.21,4440,2,1,2143.5,153.0,0.9655405405405405,0.43355855855855857
Arabidopsis,evm.TU.1.22,1535,4,3,250.5,177.66666666666666,0.6527687296416939,0.36156351791530944
Arabidopsis,evm.TU.1.23,2930,3,2,908.0,103.0,0.9296928327645051,0.3863481228668942
Arabidopsis,evm.TU.1.24,2954,3,2,911.0,110.5,0.9251861882193636,0.3808395396073121
Arabidopsis,evm.TU.1.25,2970,3,2,900.0,135.0,0.9090909090909091,0.3797979797979798
Arabidopsis,evm.TU.1.26,3599,3,2,1139.0,91.0,0.9494303973325924,0.396499027507641
Arabidopsis,evm.TU.1.27,3220,3,2,1018.0,83.0,0.9484472049689441,0.40031055900621115
Arabidopsis,evm.TU.1.28,3316,3,2,1050.0,83.0,0.9499396863691194,0.39927623642943305
Arabidopsis,evm.TU.1.29,3220,3,2,1018.0,83.0,0.9484472049689441,0.40031055900621115
Arabidopsis,evm.TU.1.30,3316,3,2,1050.0,83.0,0.9499396863691194,0.39927623642943305
Arabidopsis,evm.TU.1.31,2492,4,3,555.75,89.66666666666667,0.8920545746388443,0.3924558587479936
Arabidopsis,evm.TU.1.32,4111,3,2,907.0,695.0,0.6618827535879348,0.3544149841887619
Arabidopsis,evm.TU.1.33,2845,2,1,1335.0,175.0,0.9384885764499121,0.40210896309314587
Arabidopsis,evm.TU.1.34,3086,2,1,1452.0,182.0,0.9410239792611795,0.398250162022035
Arabidopsis,evm.TU.1.35,2119,2,1,939.0,241.0,0.8862671071260029,0.4072675790467202
Arabidopsis,evm.TU.1.36,2778,1,0,2778.0,0.0,1.0,0.41000719942404606
Arabidopsis,evm.TU.1.37,2682,1,0,2682.0,0.0,1.0,0.4004474272930649
Arabidopsis,evm.TU.1.38,2879,2,1,1387.5,104.0,0.9638763459534561,0.39284473775616535
Arabidopsis,evm.TU.1.39,2655,1,0,2655.0,0.0,1.0,0.408286252354049
Arabidopsis,evm.TU.1.40,3363,4,3,725.25,154.0,0.8626226583407671,0.3880463871543265
Arabidopsis,evm.TU.1.41,3283,4,3,744.75,101.33333333333333,0.9074017666768199,0.39658848614072495
Arabidopsis,evm.TU.1.42,4394,4,3,849.0,332.6666666666667,0.7728720983158853,0.3880291306326809
Arabidopsis,evm.TU.1.43,3350,5,4,560.4,137.0,0.8364179104477611,0.3919402985074627
Arabidopsis,evm.TU.1.44,4771,4,3,774.0,558.3333333333334,0.6489205617271012,0.3542234332425068
Arabidopsis,evm.TU.1.45,3534,4,3,763.5,160.0,0.8641765704584041,0.3978494623655914
Arabidopsis,evm.TU.1.46,3501,4,3,748.5,169.0,0.8551842330762639,0.38960297057983434
Arabidopsis,evm.TU.1.47,3752,5,4,622.2,160.25,0.8291577825159915,0.3715351812366738
Arabidopsis,evm.TU.1.48,2353,2,1,645.0,1063.0,0.5482362940926477,0.3306417339566511
Arabidopsis,evm.TU.1.49,4539,4,3,1050.75,112.0,0.9259748843357568,0.38863185723727695
Arabidopsis,evm.TU.1.50,3982,5,4,710.4,107.5,0.8920140632847815,0.4249121044701155
Arabidopsis,evm.TU.1.51,1365,2,1,634.5,96.0,0.9296703296703297,0.41318681318681316
Arabidopsis,evm.TU.1.52,4301,5,4,784.2,95.0,0.9116484538479424,0.41873982794698905
Arabidopsis,evm.TU.1.53,1914,2,1,769.5,375.0,0.8040752351097179,0.3897596656217346
Arabidopsis,evm.TU.1.54,1771,2,1,658.5,454.0,0.743647656691135,0.40146809712027104
Arabidopsis,evm.TU.1.55,1317,2,1,546.0,225.0,0.8291571753986332,0.4168564920273349
Arabidopsis,evm.TU.1.56,1254,2,1,571.5,111.0,0.9114832535885168,0.4090909090909091
Arabidopsis,evm.TU.1.57,661,2,1,283.5,94.0,0.8577912254160364,0.3918305597579425
Arabidopsis,evm.TU.1.58,672,2,1,265.5,141.0,0.7901785714285714,0.4166666666666667
Arabidopsis,evm.TU.1.59,1210,2,1,558.0,94.0,0.9223140495867769,0.4140495867768595
Arabidopsis,evm.TU.1.60,6278,23,22,152.34782608695653,126.0909090909091,0.5581395348837209,0.3932781140490602
Arabidopsis,evm.TU.3.1,2695,5,4,423.0,145.0,0.7847866419294991,0.40111317254174395
Arabidopsis,evm.TU.3.2,1763,2,1,798.0,167.0,0.9052750992626205,0.4027226318774816
Arabidopsis,evm.TU.3.3,3071,4,3,672.75,126.66666666666667,0.8762618039726473,0.40117225659394334
Arabidopsis,evm.TU.3.4,2781,1,0,2781.0,0.0,1.0,0.4160373966199209
Arabidopsis,evm.TU.3.5,4275,1,0,4275.0,0.0,1.0,0.4257309941520468
Arabidopsis,evm.TU.3.6,3165,1,0,3165.0,0.0,1.0,0.43412322274881515
Arabidopsis,evm.TU.3.7,1360,3,2,380.0,110.0,0.8382352941176471,0.43161764705882355
Arabidopsis,evm.TU.3.8,2042,4,3,412.5,130.66666666666666,0.8080313418217434,0.36190009794319294
Arabidopsis,evm.TU.3.9,3545,3,2,1082.0,149.5,0.9156558533145275,0.3918194640338505
Arabidopsis,evm.TU.3.10,3338,4,3,756.0,104.66666666666667,0.9059316956261234,0.3897543439185141
Arabidopsis,evm.TU.3.11,4218,6,5,620.5,99.0,0.8826458036984353,0.39734471313418684
Arabidopsis,evm.TU.3.12,4132,6,5,607.5,97.4,0.8821393998063891,0.3983543078412391
Arabidopsis,evm.TU.3.13,4184,6,5,610.0,104.8,0.8747609942638623,0.3924474187380497
Arabidopsis,evm.TU.3.14,2508,1,0,2508.0,0.0,1.0,0.41706539074960125
Arabidopsis,evm.TU.3.15,2544,1,0,2544.0,0.0,1.0,0.40723270440251574
Arabidopsis,evm.TU.3.16,2544,1,0,2544.0,0.0,1.0,0.40959119496855345
Arabidopsis,evm.TU.3.17,2559,1,0,2559.0,0.0,1.0,0.44744040640875343
Arabidopsis,evm.TU.3.18,4106,5,4,752.4,86.0,0.9162201656113005,0.41037506088650755
Arabidopsis,evm.TU.3.19,4099,6,5,599.0,101.0,0.8767992193217858,0.4020492803122713
Arabidopsis,evm.TU.4.1,5492,5,4,741.0,446.75,0.6746176256372906,0.3328477785870357
Arabidopsis,evm.TU.4.2,3095,7,6,366.0,88.83333333333333,0.8277867528271405,0.42552504038772215
Arabidopsis,evm.TU.4.3,1458,2,1,687.0,84.0,0.9423868312757202,0.42112482853223593
Arabidopsis,evm.TU.4.4,3415,5,4,486.6,245.5,0.7124450951683748,0.4058565153733529
Arabidopsis,evm.TU.4.5,2679,1,0,2679.0,0.0,1.0,0.3960432997387085
Arabidopsis,evm.TU.4.6,6004,4,3,822.0,905.3333333333334,0.54763491005996,0.34127248500999335
Arabidopsis,evm.TU.4.7,4069,5,4,732.0,102.25,0.8994839026787909,0.4067338412386336
Arabidopsis,evm.TU.4.8,7814,16,15,354.0,143.33333333333334,0.7248528282569746,0.4035065267468646
Arabidopsis,evm.TU.4.9,3447,4,3,789.0,97.0,0.9155787641427328,0.3870031911807369
Arabidopsis,evm.TU.4.10,1273,2,1,603.0,67.0,0.9473684210526315,0.39512961508248234
Arabidopsis,evm.TU.4.11,7117,6,5,574.0,734.6,0.48391176057327523,0.3206407194042434
Arabidopsis,evm.TU.4.12,4977,6,5,719.0,132.6,0.866787221217601,0.4008438818565401
Arabidopsis,evm.TU.4.13,4213,9,8,347.0,136.25,0.7412769997626395,0.4089722288155708
Arabidopsis,evm.TU.4.14,6323,8,7,496.125,336.2857142857143,0.6277083662818282,0.3496757868100585
Arabidopsis,evm.TU.4.15,552,2,1,232.5,87.0,0.842391304347826,0.3822463768115942
Arabidopsis,evm.TU.4.16,4725,7,6,533.5714285714286,165.0,0.7904761904761904,0.3868783068783069
Arabidopsis,evm.TU.4.17,5331,8,7,543.75,140.14285714285714,0.8159819921215532,0.39260926655411743
Arabidopsis,evm.TU.4.18,4665,7,6,560.1428571428571,124.0,0.8405144694533762,0.39464094319399784
Arabidopsis,evm.TU.4.19,5071,9,8,267.3333333333333,333.125,0.47446263064484323,0.3628475645829225
Arabidopsis,evm.TU.4.20,3679,2,1,1800.0,79.0,0.9785267735797771,0.40799130198423483
Arabidopsis,evm.TU.4.21,1152,1,0,1152.0,0.0,1.0,0.4401041666666667
Arabidopsis,evm.TU.4.22,2478,8,7,147.0,186.0,0.4745762711864407,0.37772397094430993
Arabidopsis,evm.TU.4.23,4354,5,4,786.0,106.0,0.9026182820395039,0.41042719338539274
Arabidopsis,evm.TU.4.24,4157,5,4,748.8,103.25,0.9006495068559057,0.40726485446235267
Arabidopsis,evm.TU.4.25,6547,6,5,834.0,308.6,0.7643195356651902,0.3812433175500229
Arabidopsis,evm.TU.4.26,5129,5,4,700.8,406.25,0.683174108013258,0.38292064729966857
Arabidopsis,evm.TU.4.27,2730,1,0,2730.0,0.0,1.0,0.4490842490842491
Arabidopsis,evm.TU.4.28,2958,1,0,2958.0,0.0,1.0,0.4192021636240703
Arabidopsis,evm.TU.4.29,2784,1,0,2784.0,0.0,1.0,0.41810344827586204
Arabidopsis,evm.TU.4.30,5524,7,6,689.1428571428571,116.66666666666667,0.8732802317161478,0.4067704561911658
Arabidopsis,evm.TU.4.31,3936,5,4,708.0,99.0,0.899390243902439,0.41285569105691056
Arabidopsis,evm.TU.2.1,3977,4,3,812.25,242.66666666666666,0.8169474478249937,0.37465426200653756
Arabidopsis,evm.TU.2.2,3610,4,3,832.5,93.33333333333333,0.9224376731301939,0.39861495844875344
Arabidopsis,evm.TU.2.3,4776,6,5,693.5,123.0,0.8712311557788944,0.3823283082077052
Arabidopsis,evm.TU.2.4,4467,6,5,598.0,175.8,0.8032236400268636,0.3888515782404298
Rice,evm.TU.Chr5.1,4977,3,2,1105.0,831.0,0.6660638939119952,0.49929676511954996
Rice,evm.TU.Chr5.2,4633,3,2,1166.0,567.5,0.7550183466436434,0.4204619037340816
Rice,evm.TU.Chr5.3,8019,10,9,394.8,452.3333333333333,0.49233071455293675,0.411772041401671
Rice,evm.TU.Chr5.4,1962,2,1,309.0,1344.0,0.3149847094801223,0.518348623853211
Rice,evm.TU.Chr5.5,5243,7,6,199.28571428571428,641.3333333333334,0.266069044440206,0.4468815563608621
Rice,evm.TU.Chr5.6,3635,4,3,783.75,166.66666666666666,0.8624484181568088,0.4894085281980743
Rice,evm.TU.Chr5.7,7571,9,8,436.3333333333333,455.5,0.5186897371549333,0.4626865671641791
Rice,evm.TU.Chr5.8,3462,1,0,3462.0,0.0,1.0,0.4292316580011554
Rice,evm.TU.Chr5.9,921,1,0,921.0,0.0,1.0,0.4516829533116178
Rice,evm.TU.Chr5.10,2631,1,0,2631.0,0.0,1.0,0.443557582668187
Rice,evm.TU.Chr5.11,3780,1,0,3780.0,0.0,1.0,0.43253968253968256
Rice,evm.TU.Chr5.12,3669,1,0,3669.0,0.0,1.0,0.4279095121286454
Rice,evm.TU.Chr5.13,5288,3,2,1314.0,673.0,0.7454614220877458,0.4392965204236006
Rice,evm.TU.Chr5.14,3313,2,1,1606.5,100.0,0.9698158768487776,0.4699667974645337
Rice,evm.TU.Chr5.15,3405,1,0,3405.0,0.0,1.0,0.4960352422907489
Rice,evm.TU.Chr5.16,1944,1,0,1944.0,0.0,1.0,0.5200617283950617
Rice,evm.TU.Chr5.17,4150,3,2,1133.0,375.5,0.8190361445783133,0.44385542168674696
Rice,evm.TU.Chr5.18,3354,2,1,1501.5,351.0,0.8953488372093024,0.48300536672629696
Rice,evm.TU.Chr5.19,3375,1,0,3375.0,0.0,1.0,0.4272592592592593
Rice,evm.TU.Chr5.20,3297,3,2,997.0,153.0,0.9071883530482256,0.4222020018198362
Rice,evm.TU.Chr8.1,780,2,1,340.5,99.0,0.8730769230769231,0.4705128205128205
Rice,evm.TU.Chr8.2,4537,2,1,1419.0,1699.0,0.6255234736610095,0.4189993387701124
Rice,evm.TU.Chr8.3,11682,11,10,358.3636363636364,774.0,0.337442218798151,0.42175997260743026
Rice,evm.TU.Chr8.4,2784,1,0,2784.0,0.0,1.0,0.45294540229885055
Rice,evm.TU.Chr8.5,6553,4,3,828.0,1080.3333333333333,0.5054173660918663,0.4095833969174424
Rice,evm.TU.Chr8.6,3894,2,1,1473.0,948.0,0.7565485362095532,0.423728813559322
Rice,evm.TU.Chr8.7,3550,3,2,901.0,423.5,0.7614084507042254,0.42704225352112674
Rice,evm.TU.Chr8.8,25633,12,11,645.0,1626.6363636363637,0.3019545117621816,0.4244528537432216
Rice,evm.TU.Chr8.9,8297,6,5,599.0,940.6,0.4331686151621068,0.4148487405086176
Rice,evm.TU.Chr8.10,7588,12,11,419.0,232.72727272727272,0.6626251976805483,0.4085397996837111
Rice,evm.TU.Chr8.11,25509,16,15,438.75,1232.6,0.2751969892978949,0.4273001685679564
Rice,evm.TU.Chr8.12,7872,7,6,441.42857142857144,797.0,0.39253048780487804,0.3870680894308943
Rice,evm.TU.Chr8.13,4431,2,1,1548.0,1335.0,0.6987136086662153,0.5569848792597608
Rice,evm.TU.Chr8.14,2931,1,0,2931.0,0.0,1.0,0.5711361310133061
Rice,evm.TU.Chr8.15,3438,2,1,1492.5,453.0,0.868237347294939,0.42524723676556136
Rice,evm.TU.Chr8.16,13585,4,3,1237.5,2878.3333333333335,0.3643724696356275,0.4071402281928598
Rice,evm.TU.Chr8.17,5575,2,1,1269.0,3037.0,0.45524663677130045,0.37668161434977576
Rice,evm.TU.Chr8.18,4692,3,2,902.0,993.0,0.5767263427109974,0.3712702472293265
Rice,evm.TU.Chr8.19,4481,6,5,315.5,517.6,0.4224503459049319,0.4472216023209105
Rice,evm.TU.Chr8.20,3480,3,2,928.0,348.0,0.8,0.4543103448275862
Rice,evm.TU.Chr8.21,13220,4,3,936.0,3158.6666666666665,0.2832072617246596,0.39024205748865354
Rice,evm.TU.Chr8.22,2727,3,2,872.0,55.5,0.9592959295929593,0.40484048404840484
Rice,evm.TU.Chr8.23,3609,4,3,647.25,340.0,0.7173732335827099,0.4416735937932945
Rice,evm.TU.Chr8.24,2688,2,1,1170.0,348.0,0.8705357142857143,0.3939732142857143
Rice,evm.TU.Chr8.25,1717,2,1,172.5,1372.0,0.20093185789167153,0.41351193942923703
Rice,evm.TU.Chr8.26,3974,3,2,996.0,493.0,0.7518872672370408,0.3925515853044791
Rice,evm.TU.Chr8.27,12051,2,1,1374.0,9303.0,0.22803086880756784,0.3919176831798191
Rice,evm.TU.Chr8.28,8802,3,2,943.0,2986.5,0.3214042263122018,0.3855941831401954
Rice,evm.TU.Chr8.29,6806,3,2,1576.0,1039.0,0.6946811636791067,0.4124302086394358
Rice,evm.TU.Chr8.30,632,1,0,632.0,0.0,1.0,0.47310126582278483
Rice,evm.TU.Chr8.31,6030,6,5,377.0,753.6,0.37512437810945276,0.4280265339966832
Rice,evm.TU.Chr8.32,3417,3,2,772.0,550.5,0.6777875329236172,0.398595258999122
Rice,evm.TU.Chr8.33,4016,6,5,237.0,518.8,0.35408366533864544,0.4681274900398406
Rice,evm.TU.Chr8.34,4044,2,1,1365.0,1314.0,0.6750741839762612,0.39020771513353114
Rice,evm.TU.Chr8.35,4076,4,3,663.0,474.6666666666667,0.6506378802747792,0.3788027477919529
Rice,evm.TU.Chr8.36,8585,2,1,1450.5,5684.0,0.33791496796738496,0.3473500291205591
Rice,evm.TU.Chr8.37,10489,3,2,936.0,3840.5,0.26770902850605394,0.4663933644770712
Rice,evm.TU.Chr8.38,11322,3,2,975.0,4198.5,0.25834658187599363,0.4704999116763823
Rice,evm.TU.Chr8.39,6805,4,3,641.25,1413.3333333333333,0.3769287288758266,0.38383541513592945
Rice,evm.TU.Chr8.40,2244,2,1,906.0,432.0,0.8074866310160428,0.48262032085561496
Rice,evm.TU.Chr8.41,3414,2,1,1501.5,411.0,0.8796133567662566,0.4068541300527241
Rice,evm.TU.Chr8.42,3461,2,1,1440.0,581.0,0.8321294423577,0.4099971106616585
Rice,evm.TU.Chr8.43,3411,2,1,1443.0,525.0,0.8460861917326298,0.4365288771621225
Rice,evm.TU.Chr8.44,3188,7,6,85.28571428571429,431.8333333333333,0.18726474278544541,0.3877038895859473
Rice,evm.TU.Chr8.45,2724,1,0,2724.0,0.0,1.0,0.48201174743024966
Rice,evm.TU.Chr8.46,3018,2,1,1308.0,402.0,0.8667992047713717,0.4211398277004639
Rice,evm.TU.Chr8.47,2961,1,0,2961.0,0.0,1.0,0.5457615670381628
Rice,evm.TU.Chr8.48,465,2,1,198.0,69.0,0.8516129032258064,0.4236559139784946
Rice,evm.TU.Chr8.49,9172,3,2,1206.0,2777.0,0.394461404273877,0.4088530309638029
Rice,evm.TU.Chr8.50,7627,3,2,1187.0,2033.0,0.46689392946112496,0.41379310344827586
Rice,evm.TU.Chr8.51,10268,5,4,891.6,1452.5,0.43416439423451497,0.3738800155823919
Rice,evm.TU.Chr8.52,17595,21,20,271.85714285714283,594.3,0.3244671781756181,0.4333049161693663
Rice,evm.TU.Chr8.53,3633,1,0,3633.0,0.0,1.0,0.4668318194329755
Rice,evm.TU.Chr8.54,3555,1,0,3555.0,0.0,1.0,0.4607594936708861
Rice,evm.TU.Chr8.55,3462,1,0,3462.0,0.0,1.0,0.46302715193529753
Rice,evm.TU.ChrUn.1,2763,1,0,2763.0,0.0,1.0,0.42888165038002174
Rice,evm.TU.ChrUn.2,2769,1,0,2769.0,0.0,1.0,0.4171180931744312
Rice,evm.TU.Chr4.1,4606,2,1,1848.0,910.0,0.8024316109422492,0.42444637429439863
Rice,evm.TU.Chr4.2,3300,1,0,3300.0,0.0,1.0,0.48424242424242425
Rice,evm.TU.Chr4.3,1020,1,0,1020.0,0.0,1.0,0.5843137254901961
Rice,evm.TU.Chr4.4,5693,3,2,748.0,1724.5,0.3941682768311962,0.5090461970841385
Rice,evm.TU.Chr4.5,5145,5,4,585.6,554.25,0.5690962099125364,0.415354713313897
Rice,evm.TU.Chr4.6,2223,1,0,2223.0,0.0,1.0,0.41070625281151596
Rice,evm.TU.Chr4.7,3737,6,5,328.5,353.2,0.5274284185175274,0.40192667915440194
Rice,evm.TU.Chr4.8,7832,4,3,828.0,1506.6666666666667,0.42288049029622066,0.4166241062308478
Rice,evm.TU.Chr4.9,414,1,0,414.0,0.0,1.0,0.45893719806763283
Rice,evm.TU.Chr4.10,2106,1,0,2106.0,0.0,1.0,0.4278252611585945
Rice,evm.TU.Chr4.11,179,1,0,179.0,0.0,1.0,0.547486033519553
Rice,evm.TU.Chr4.12,2799,1,0,2799.0,0.0,1.0,0.42979635584137194
Rice,evm.TU.Chr4.13,5477,5,4,843.6,314.75,0.7701296330107723,0.4190250136936279
Rice,evm.TU.Chr4.14,2475,2,1,1140.0,195.0,0.9212121212121213,0.44606060606060605
Rice,evm.TU.Chr4.15,434,1,0,434.0,0.0,1.0,0.4631336405529954
Rice,evm.TU.Chr4.16,5700,2,1,1362.0,2976.0,0.47789473684210526,0.3717543859649123
Rice,evm.TU.Chr4.17,2945,3,2,568.0,620.5,0.5786078098471986,0.4234295415959253
Rice,evm.TU.Chr4.18,1610,1,0,1610.0,0.0,1.0,0.41987577639751555
Rice,evm.TU.Chr4.19,2680,4,3,396.75,364.3333333333333,0.5921641791044776,0.4134328358208955
Rice,evm.TU.Chr4.20,3821,2,1,1615.5,590.0,0.8455901596440722,0.4187385501177702
